"region","year","variable","value"
"Massachusetts",1988,"prey",12.16
"Massachusetts",1989,"prey",17.24
"Massachusetts",1990,"prey",68.99
"Massachusetts",1991,"prey",28.49
"Massachusetts",1992,"prey",21.61
"Massachusetts",1993,"prey",9.48
"Massachusetts",1994,"prey",45.44
"Massachusetts",1995,"prey",38.61
"Massachusetts",1996,"prey",43.2
"Massachusetts",1997,"prey",15.38
"Massachusetts",1998,"prey",23.28
"Massachusetts",1999,"prey",24.26
"Massachusetts",2000,"prey",29.9
"Massachusetts",2001,"prey",4.07
"Massachusetts",2002,"prey",26.08
"Massachusetts",2003,"prey",1.62
"Massachusetts",2004,"prey",4.2
"Massachusetts",2005,"prey",10.88
"Massachusetts",2006,"prey",25.82
"Massachusetts",2007,"prey",5.79
"Newfoundland",1984,"prey",675.20068
"Newfoundland",1985,"prey",710.25299
"Newfoundland",1986,"prey",671.0752
"Newfoundland",1987,"prey",597.93933
"Newfoundland",1988,"prey",676.13629
"Newfoundland",1989,"prey",721.29337
"Newfoundland",1990,"prey",663.46341
"Newfoundland",1991,"prey",845.94315
"Newfoundland",1992,"prey",931.16901
"Newfoundland",1993,"prey",823.95395
"Newfoundland",1994,"prey",778.07169
"Newfoundland",1995,"prey",770.74942
"Nova Scotia",1978,"prey",4505
"Nova Scotia",1979,"prey",5254
"Nova Scotia",1980,"prey",5059
"Nova Scotia",1981,"prey",5556
"Nova Scotia",1982,"prey",6363
"Nova Scotia",1983,"prey",7758
"Nova Scotia",1984,"prey",8876
"Nova Scotia",1985,"prey",10679
"Nova Scotia",1986,"prey",13284
"Nova Scotia",1987,"prey",15087
"Nova Scotia",1988,"prey",15953
"Nova Scotia",1989,"prey",15959
"Nova Scotia",1990,"prey",17177
"Nova Scotia",1991,"prey",19030
"Nova Scotia",1992,"prey",15497
"Nova Scotia",1993,"prey",14871
"Nova Scotia",1994,"prey",16258
"Nova Scotia",1995,"prey",15185
"Nova Scotia",1996,"prey",15881
"Nova Scotia",1997,"prey",16317
"Nova Scotia",1998,"prey",18274
"Nova Scotia",1999,"prey",19813
"Nova Scotia",2000,"prey",20797
"Nova Scotia",2001,"prey",24820
"Nova Scotia",2002,"prey",27658
"Nova Scotia",2003,"prey",26161
"Rhode Island",1987,"prey",5.14
"Rhode Island",1988,"prey",8.095
"Rhode Island",1989,"prey",8.34
"Rhode Island",1990,"prey",5.445
"Rhode Island",1991,"prey",12.84
"Rhode Island",1992,"prey",5.805
"Rhode Island",1993,"prey",15.08
"Rhode Island",1994,"prey",9.2
"Rhode Island",1995,"prey",9.125
"Rhode Island",1996,"prey",12.23
"Rhode Island",1997,"prey",16.275
"Rhode Island",1998,"prey",7.835
"Rhode Island",1999,"prey",5.96
"Rhode Island",2000,"prey",4.32
"Rhode Island",2001,"prey",8.305
"Rhode Island",2002,"prey",5.745
"Rhode Island",2003,"prey",2.4
"Rhode Island",2004,"prey",3.665
"Rhode Island",2005,"prey",6.965
"Rhode Island",2006,"prey",8.46
"Rhode Island",2007,"prey",4.575
"s Gulf St Lawrence",1984,"prey",13916.6
"s Gulf St Lawrence",1985,"prey",15934.6
"s Gulf St Lawrence",1986,"prey",18274.8
"s Gulf St Lawrence",1987,"prey",19301.6
"s Gulf St Lawrence",1988,"prey",20192.7
"s Gulf St Lawrence",1989,"prey",21556
"s Gulf St Lawrence",1990,"prey",22226.7
"s Gulf St Lawrence",1991,"prey",21575.9
"s Gulf St Lawrence",1992,"prey",19566.8
"s Gulf St Lawrence",1993,"prey",19727.7
"s Gulf St Lawrence",1994,"prey",18217.7
"s Gulf St Lawrence",1995,"prey",18352
"s Gulf St Lawrence",1996,"prey",17612.4
"s Gulf St Lawrence",1997,"prey",16901.6
"s Gulf St Lawrence",1998,"prey",18044.1
"s Gulf St Lawrence",1999,"prey",17427.7
"s Gulf St Lawrence",2000,"prey",17790.1
"s Gulf St Lawrence",2001,"prey",17677.8
"s Gulf St Lawrence",2002,"prey",17745.4
"s Gulf St Lawrence",2003,"prey",17021.8
"s Gulf St Lawrence",2004,"prey",16375.4
"s Gulf St Lawrence",2005,"prey",15589.8
"s Gulf St Lawrence",2006,"prey",17279.3
"s Gulf St Lawrence",2007,"prey",16896.4
"s New England",1982,"prey",11151510
"s New England",1983,"prey",11301070
"s New England",1984,"prey",14602030
"s New England",1985,"prey",18295960
"s New England",1986,"prey",18499450
"s New England",1987,"prey",20602600
"s New England",1988,"prey",22543040
"s New England",1989,"prey",25224210
"s New England",1990,"prey",27833300
"s New England",1991,"prey",25521280
"s New England",1992,"prey",23353590
"s New England",1993,"prey",26307100
"s New England",1994,"prey",31483100
"s New England",1995,"prey",34811200
"s New England",1996,"prey",36578200
"s New England",1997,"prey",36713200
"s New England",1998,"prey",35826500
"s New England",1999,"prey",33378300
"s New England",2000,"prey",27243130
"s New England",2001,"prey",21005940
"s New England",2002,"prey",16552630
"s New England",2003,"prey",12832540
"s New England",2004,"prey",13860130
"s New England",2005,"prey",15315410
"s New England",2006,"prey",14467660
"s New England",2007,"prey",14247040
"Connecticut",1992,"predator.lag00",1.94
"Connecticut",1993,"predator.lag00",1.7
"Connecticut",1994,"predator.lag00",1.27
"Connecticut",1995,"predator.lag00",1.23
"Connecticut",1996,"predator.lag00",1.96
"Connecticut",1997,"predator.lag00",1.86
"Connecticut",1998,"predator.lag00",2.12
"Connecticut",1999,"predator.lag00",2.44
"Connecticut",2000,"predator.lag00",3.35
"Connecticut",2001,"predator.lag00",3.02
"Connecticut",2002,"predator.lag00",5.81
"Connecticut",2003,"predator.lag00",4.5
"Connecticut",2004,"predator.lag00",2.57
"Connecticut",2005,"predator.lag00",3.15
"Connecticut",2006,"predator.lag00",2.19
"Connecticut",2007,"predator.lag00",3.79
"Georges Bank",1982,"predator.lag00",13.5581
"Georges Bank",1983,"predator.lag00",12.1441
"Georges Bank",1984,"predator.lag00",11.611
"Georges Bank",1985,"predator.lag00",9.311
"Georges Bank",1986,"predator.lag00",22.4801
"Georges Bank",1987,"predator.lag00",25.2334
"Georges Bank",1988,"predator.lag00",16.5651
"Georges Bank",1989,"predator.lag00",39.3308
"Georges Bank",1990,"predator.lag00",34.655
"Georges Bank",1991,"predator.lag00",17.5613
"Georges Bank",1992,"predator.lag00",35.0175
"Georges Bank",1993,"predator.lag00",20.1191
"Georges Bank",1994,"predator.lag00",25.1198
"Georges Bank",1995,"predator.lag00",30.4133
"Georges Bank",1996,"predator.lag00",28.0619
"Georges Bank",1997,"predator.lag00",32.8292
"Georges Bank",1998,"predator.lag00",59.7722
"Georges Bank",1999,"predator.lag00",20.6887
"Georges Bank",2000,"predator.lag00",30.2473
"Georges Bank",2001,"predator.lag00",27.1496
"Georges Bank",2002,"predator.lag00",37.9489
"Georges Bank",2003,"predator.lag00",17.061
"Georges Bank",2004,"predator.lag00",19.7579
"Georges Bank",2005,"predator.lag00",16.6395
"Georges Bank",2006,"predator.lag00",17.6305
"Georges Bank",2007,"predator.lag00",26.151
"Gulf of Maine",1982,"predator.lag00",10.7307
"Gulf of Maine",1983,"predator.lag00",10.827
"Gulf of Maine",1984,"predator.lag00",10.5018
"Gulf of Maine",1985,"predator.lag00",10.3804
"Gulf of Maine",1986,"predator.lag00",7.3211
"Gulf of Maine",1987,"predator.lag00",6.3766
"Gulf of Maine",1988,"predator.lag00",10.7453
"Gulf of Maine",1989,"predator.lag00",11.8778
"Gulf of Maine",1990,"predator.lag00",9.3519
"Gulf of Maine",1991,"predator.lag00",9.7547
"Gulf of Maine",1992,"predator.lag00",10.2263
"Gulf of Maine",1993,"predator.lag00",11.0249
"Gulf of Maine",1994,"predator.lag00",10.2708
"Gulf of Maine",1995,"predator.lag00",12.7775
"Gulf of Maine",1996,"predator.lag00",11.2634
"Gulf of Maine",1997,"predator.lag00",8.6199
"Gulf of Maine",1998,"predator.lag00",6.1142
"Gulf of Maine",1999,"predator.lag00",10.4616
"Gulf of Maine",2000,"predator.lag00",11.6754
"Gulf of Maine",2001,"predator.lag00",8.7853
"Gulf of Maine",2002,"predator.lag00",10.3337
"Gulf of Maine",2003,"predator.lag00",9.531
"Gulf of Maine",2004,"predator.lag00",6.6438
"Gulf of Maine",2005,"predator.lag00",4.1677
"Gulf of Maine",2006,"predator.lag00",8.0722
"Gulf of Maine",2007,"predator.lag00",5.2145
"Massachusetts",1986,"predator.lag00",44.8586293
"Massachusetts",1987,"predator.lag00",187.9539191
"Massachusetts",1988,"predator.lag00",43.32072285
"Massachusetts",1989,"predator.lag00",52.8431886
"Massachusetts",1990,"predator.lag00",58.1374457
"Massachusetts",1991,"predator.lag00",40.1957049
"Massachusetts",1992,"predator.lag00",70.54648525
"Massachusetts",1993,"predator.lag00",133.56071275
"Massachusetts",1994,"predator.lag00",81.4810195
"Massachusetts",1995,"predator.lag00",102.417707
"Massachusetts",1996,"predator.lag00",65.48795065
"Massachusetts",1997,"predator.lag00",51.30427265
"Massachusetts",1998,"predator.lag00",64.2211719
"Massachusetts",1999,"predator.lag00",130.37565885
"Massachusetts",2000,"predator.lag00",103.95679125
"Massachusetts",2001,"predator.lag00",128.576356
"Massachusetts",2002,"predator.lag00",63.778828
"Massachusetts",2003,"predator.lag00",674.9415424
"Massachusetts",2004,"predator.lag00",156.9194188
"Massachusetts",2005,"predator.lag00",158.4995676
"Massachusetts",2006,"predator.lag00",586.58764195
"Massachusetts",2007,"predator.lag00",63.8343411
"Newfoundland",1984,"predator.lag00",39.769
"Newfoundland",1985,"predator.lag00",87.318
"Newfoundland",1986,"predator.lag00",34.239
"Newfoundland",1987,"predator.lag00",53.42
"Newfoundland",1988,"predator.lag00",29.767
"Newfoundland",1989,"predator.lag00",29.244
"Newfoundland",1990,"predator.lag00",33.445
"Newfoundland",1991,"predator.lag00",39.876
"Newfoundland",1992,"predator.lag00",25.493
"Newfoundland",1993,"predator.lag00",13.083
"Newfoundland",1994,"predator.lag00",15.099
"Newfoundland",1995,"predator.lag00",16.481
"Nova Scotia",1978,"predator.lag00",37.861166381
"Nova Scotia",1979,"predator.lag00",41.05553565
"Nova Scotia",1980,"predator.lag00",35.981734647
"Nova Scotia",1981,"predator.lag00",52.304163335
"Nova Scotia",1982,"predator.lag00",40.862787527
"Nova Scotia",1983,"predator.lag00",42.595437487
"Nova Scotia",1984,"predator.lag00",42.25914985
"Nova Scotia",1985,"predator.lag00",45.422934613
"Nova Scotia",1986,"predator.lag00",31.150374633
"Nova Scotia",1987,"predator.lag00",32.788339516
"Nova Scotia",1988,"predator.lag00",38.302713025
"Nova Scotia",1989,"predator.lag00",28.326616448
"Nova Scotia",1990,"predator.lag00",25.274136743
"Nova Scotia",1991,"predator.lag00",22.341086836
"Nova Scotia",1992,"predator.lag00",21.935841284
"Nova Scotia",1993,"predator.lag00",15.209094736
"Nova Scotia",1994,"predator.lag00",12.884499333
"Nova Scotia",1995,"predator.lag00",14.163560859
"Nova Scotia",1996,"predator.lag00",21.191709026
"Nova Scotia",1997,"predator.lag00",12.496575956
"Nova Scotia",1998,"predator.lag00",14.641077295
"Nova Scotia",1999,"predator.lag00",9.997076896
"Nova Scotia",2000,"predator.lag00",8.877114778
"Nova Scotia",2001,"predator.lag00",10.078772118
"Nova Scotia",2002,"predator.lag00",11.294634398
"Nova Scotia",2003,"predator.lag00",8.482794673
"Rhode Island",1987,"predator.lag00",1.736048266
"Rhode Island",1988,"predator.lag00",1.1669435215
"Rhode Island",1989,"predator.lag00",1.904761905
"Rhode Island",1990,"predator.lag00",5.583333333
"Rhode Island",1991,"predator.lag00",1.1815183365
"Rhode Island",1992,"predator.lag00",0.754761905
"Rhode Island",1993,"predator.lag00",0.7161890395
"Rhode Island",1994,"predator.lag00",0.482142857
"Rhode Island",1995,"predator.lag00",1.547619048
"Rhode Island",1996,"predator.lag00",2.503246753
"Rhode Island",1997,"predator.lag00",0.2976190475
"Rhode Island",1998,"predator.lag00",1.486353078
"Rhode Island",1999,"predator.lag00",0.5421675375
"Rhode Island",2000,"predator.lag00",1.3798780485
"Rhode Island",2001,"predator.lag00",1.395310489
"Rhode Island",2002,"predator.lag00",0.6379065045
"Rhode Island",2003,"predator.lag00",4.5808289785
"Rhode Island",2004,"predator.lag00",1.4582126765
"Rhode Island",2005,"predator.lag00",8.96011905
"Rhode Island",2006,"predator.lag00",1.351190476
"Rhode Island",2007,"predator.lag00",0.5
"s Gulf St Lawrence",1984,"predator.lag00",6.309847403
"s Gulf St Lawrence",1985,"predator.lag00",10.063247822
"s Gulf St Lawrence",1986,"predator.lag00",13.49395748
"s Gulf St Lawrence",1987,"predator.lag00",7.300118179
"s Gulf St Lawrence",1988,"predator.lag00",10.328265489
"s Gulf St Lawrence",1989,"predator.lag00",7.106372335
"s Gulf St Lawrence",1990,"predator.lag00",7.591020886
"s Gulf St Lawrence",1991,"predator.lag00",8.089962245
"s Gulf St Lawrence",1992,"predator.lag00",5.60144151
"s Gulf St Lawrence",1993,"predator.lag00",3.824391063
"s Gulf St Lawrence",1994,"predator.lag00",3.716135338
"s Gulf St Lawrence",1995,"predator.lag00",2.168474469
"s Gulf St Lawrence",1996,"predator.lag00",2.979294051
"s Gulf St Lawrence",1997,"predator.lag00",2.853908784
"s Gulf St Lawrence",1998,"predator.lag00",3.426484005
"s Gulf St Lawrence",1999,"predator.lag00",3.022792355
"s Gulf St Lawrence",2000,"predator.lag00",4.647619618
"s Gulf St Lawrence",2001,"predator.lag00",2.910907451
"s Gulf St Lawrence",2002,"predator.lag00",2.861558849
"s Gulf St Lawrence",2003,"predator.lag00",2.510759923
"s Gulf St Lawrence",2004,"predator.lag00",1.943863458
"s Gulf St Lawrence",2005,"predator.lag00",2.775925368
"s Gulf St Lawrence",2006,"predator.lag00",2.129253788
"s Gulf St Lawrence",2007,"predator.lag00",4.839560624
"s New England",1982,"predator.lag00",7.777
"s New England",1983,"predator.lag00",2.874
"s New England",1984,"predator.lag00",3.764
"s New England",1985,"predator.lag00",2.327
"s New England",1986,"predator.lag00",1.56
"s New England",1987,"predator.lag00",2.087
"s New England",1988,"predator.lag00",1.632
"s New England",1989,"predator.lag00",2.88
"s New England",1990,"predator.lag00",4.533
"s New England",1991,"predator.lag00",1.732
"s New England",1992,"predator.lag00",1.704
"s New England",1993,"predator.lag00",1.137
"s New England",1994,"predator.lag00",4.551
"s New England",1995,"predator.lag00",1.56
"s New England",1996,"predator.lag00",2.125
"s New England",1997,"predator.lag00",2.561
"s New England",1998,"predator.lag00",2.937
"s New England",1999,"predator.lag00",4.07
"s New England",2000,"predator.lag00",1.63
"s New England",2001,"predator.lag00",3.75
"s New England",2002,"predator.lag00",2.93
"s New England",2003,"predator.lag00",4.43
"s New England",2004,"predator.lag00",3.43
"s New England",2005,"predator.lag00",4.985
"s New England",2006,"predator.lag00",2.867
"s New England",2007,"predator.lag00",2.799
"Connecticut",1992,"environment.lag00",3.28
"Connecticut",1993,"environment.lag00",2.67
"Connecticut",1994,"environment.lag00",3.03
"Connecticut",1995,"environment.lag00",3.96
"Connecticut",1996,"environment.lag00",-3.78
"Connecticut",1997,"environment.lag00",-0.17
"Connecticut",1998,"environment.lag00",0.72
"Connecticut",1999,"environment.lag00",1.7
"Connecticut",2000,"environment.lag00",2.8
"Connecticut",2001,"environment.lag00",-1.9
"Connecticut",2002,"environment.lag00",0.76
"Connecticut",2003,"environment.lag00",0.2
"Connecticut",2004,"environment.lag00",-0.07
"Connecticut",2005,"environment.lag00",0.12
"Connecticut",2006,"environment.lag00",-1.09
"Connecticut",2007,"environment.lag00",2.79
"Georges Bank",1982,"environment.lag00",0.8
"Georges Bank",1983,"environment.lag00",3.42
"Georges Bank",1984,"environment.lag00",1.6
"Georges Bank",1985,"environment.lag00",-0.63
"Georges Bank",1986,"environment.lag00",0.5
"Georges Bank",1987,"environment.lag00",-0.75
"Georges Bank",1988,"environment.lag00",0.72
"Georges Bank",1989,"environment.lag00",5.08
"Georges Bank",1990,"environment.lag00",3.96
"Georges Bank",1991,"environment.lag00",1.03
"Georges Bank",1992,"environment.lag00",3.28
"Georges Bank",1993,"environment.lag00",2.67
"Georges Bank",1994,"environment.lag00",3.03
"Georges Bank",1995,"environment.lag00",3.96
"Georges Bank",1996,"environment.lag00",-3.78
"Georges Bank",1997,"environment.lag00",-0.17
"Georges Bank",1998,"environment.lag00",0.72
"Georges Bank",1999,"environment.lag00",1.7
"Georges Bank",2000,"environment.lag00",2.8
"Georges Bank",2001,"environment.lag00",-1.9
"Georges Bank",2002,"environment.lag00",0.76
"Georges Bank",2003,"environment.lag00",0.2
"Georges Bank",2004,"environment.lag00",-0.07
"Georges Bank",2005,"environment.lag00",0.12
"Georges Bank",2006,"environment.lag00",-1.09
"Georges Bank",2007,"environment.lag00",2.79
"Gulf of Maine",1982,"environment.lag00",0.8
"Gulf of Maine",1983,"environment.lag00",3.42
"Gulf of Maine",1984,"environment.lag00",1.6
"Gulf of Maine",1985,"environment.lag00",-0.63
"Gulf of Maine",1986,"environment.lag00",0.5
"Gulf of Maine",1987,"environment.lag00",-0.75
"Gulf of Maine",1988,"environment.lag00",0.72
"Gulf of Maine",1989,"environment.lag00",5.08
"Gulf of Maine",1990,"environment.lag00",3.96
"Gulf of Maine",1991,"environment.lag00",1.03
"Gulf of Maine",1992,"environment.lag00",3.28
"Gulf of Maine",1993,"environment.lag00",2.67
"Gulf of Maine",1994,"environment.lag00",3.03
"Gulf of Maine",1995,"environment.lag00",3.96
"Gulf of Maine",1996,"environment.lag00",-3.78
"Gulf of Maine",1997,"environment.lag00",-0.17
"Gulf of Maine",1998,"environment.lag00",0.72
"Gulf of Maine",1999,"environment.lag00",1.7
"Gulf of Maine",2000,"environment.lag00",2.8
"Gulf of Maine",2001,"environment.lag00",-1.9
"Gulf of Maine",2002,"environment.lag00",0.76
"Gulf of Maine",2003,"environment.lag00",0.2
"Gulf of Maine",2004,"environment.lag00",-0.07
"Gulf of Maine",2005,"environment.lag00",0.12
"Gulf of Maine",2006,"environment.lag00",-1.09
"Gulf of Maine",2007,"environment.lag00",2.79
"Massachusetts",1986,"environment.lag00",0.5
"Massachusetts",1987,"environment.lag00",-0.75
"Massachusetts",1988,"environment.lag00",0.72
"Massachusetts",1989,"environment.lag00",5.08
"Massachusetts",1990,"environment.lag00",3.96
"Massachusetts",1991,"environment.lag00",1.03
"Massachusetts",1992,"environment.lag00",3.28
"Massachusetts",1993,"environment.lag00",2.67
"Massachusetts",1994,"environment.lag00",3.03
"Massachusetts",1995,"environment.lag00",3.96
"Massachusetts",1996,"environment.lag00",-3.78
"Massachusetts",1997,"environment.lag00",-0.17
"Massachusetts",1998,"environment.lag00",0.72
"Massachusetts",1999,"environment.lag00",1.7
"Massachusetts",2000,"environment.lag00",2.8
"Massachusetts",2001,"environment.lag00",-1.9
"Massachusetts",2002,"environment.lag00",0.76
"Massachusetts",2003,"environment.lag00",0.2
"Massachusetts",2004,"environment.lag00",-0.07
"Massachusetts",2005,"environment.lag00",0.12
"Massachusetts",2006,"environment.lag00",-1.09
"Massachusetts",2007,"environment.lag00",2.79
"Newfoundland",1984,"environment.lag00",1.6
"Newfoundland",1985,"environment.lag00",-0.63
"Newfoundland",1986,"environment.lag00",0.5
"Newfoundland",1987,"environment.lag00",-0.75
"Newfoundland",1988,"environment.lag00",0.72
"Newfoundland",1989,"environment.lag00",5.08
"Newfoundland",1990,"environment.lag00",3.96
"Newfoundland",1991,"environment.lag00",1.03
"Newfoundland",1992,"environment.lag00",3.28
"Newfoundland",1993,"environment.lag00",2.67
"Newfoundland",1994,"environment.lag00",3.03
"Newfoundland",1995,"environment.lag00",3.96
"Nova Scotia",1978,"environment.lag00",0.17
"Nova Scotia",1979,"environment.lag00",-2.25
"Nova Scotia",1980,"environment.lag00",0.56
"Nova Scotia",1981,"environment.lag00",2.05
"Nova Scotia",1982,"environment.lag00",0.8
"Nova Scotia",1983,"environment.lag00",3.42
"Nova Scotia",1984,"environment.lag00",1.6
"Nova Scotia",1985,"environment.lag00",-0.63
"Nova Scotia",1986,"environment.lag00",0.5
"Nova Scotia",1987,"environment.lag00",-0.75
"Nova Scotia",1988,"environment.lag00",0.72
"Nova Scotia",1989,"environment.lag00",5.08
"Nova Scotia",1990,"environment.lag00",3.96
"Nova Scotia",1991,"environment.lag00",1.03
"Nova Scotia",1992,"environment.lag00",3.28
"Nova Scotia",1993,"environment.lag00",2.67
"Nova Scotia",1994,"environment.lag00",3.03
"Nova Scotia",1995,"environment.lag00",3.96
"Nova Scotia",1996,"environment.lag00",-3.78
"Nova Scotia",1997,"environment.lag00",-0.17
"Nova Scotia",1998,"environment.lag00",0.72
"Nova Scotia",1999,"environment.lag00",1.7
"Nova Scotia",2000,"environment.lag00",2.8
"Nova Scotia",2001,"environment.lag00",-1.9
"Nova Scotia",2002,"environment.lag00",0.76
"Nova Scotia",2003,"environment.lag00",0.2
"Rhode Island",1987,"environment.lag00",-0.75
"Rhode Island",1988,"environment.lag00",0.72
"Rhode Island",1989,"environment.lag00",5.08
"Rhode Island",1990,"environment.lag00",3.96
"Rhode Island",1991,"environment.lag00",1.03
"Rhode Island",1992,"environment.lag00",3.28
"Rhode Island",1993,"environment.lag00",2.67
"Rhode Island",1994,"environment.lag00",3.03
"Rhode Island",1995,"environment.lag00",3.96
"Rhode Island",1996,"environment.lag00",-3.78
"Rhode Island",1997,"environment.lag00",-0.17
"Rhode Island",1998,"environment.lag00",0.72
"Rhode Island",1999,"environment.lag00",1.7
"Rhode Island",2000,"environment.lag00",2.8
"Rhode Island",2001,"environment.lag00",-1.9
"Rhode Island",2002,"environment.lag00",0.76
"Rhode Island",2003,"environment.lag00",0.2
"Rhode Island",2004,"environment.lag00",-0.07
"Rhode Island",2005,"environment.lag00",0.12
"Rhode Island",2006,"environment.lag00",-1.09
"Rhode Island",2007,"environment.lag00",2.79
"s Gulf St Lawrence",1984,"environment.lag00",1.6
"s Gulf St Lawrence",1985,"environment.lag00",-0.63
"s Gulf St Lawrence",1986,"environment.lag00",0.5
"s Gulf St Lawrence",1987,"environment.lag00",-0.75
"s Gulf St Lawrence",1988,"environment.lag00",0.72
"s Gulf St Lawrence",1989,"environment.lag00",5.08
"s Gulf St Lawrence",1990,"environment.lag00",3.96
"s Gulf St Lawrence",1991,"environment.lag00",1.03
"s Gulf St Lawrence",1992,"environment.lag00",3.28
"s Gulf St Lawrence",1993,"environment.lag00",2.67
"s Gulf St Lawrence",1994,"environment.lag00",3.03
"s Gulf St Lawrence",1995,"environment.lag00",3.96
"s Gulf St Lawrence",1996,"environment.lag00",-3.78
"s Gulf St Lawrence",1997,"environment.lag00",-0.17
"s Gulf St Lawrence",1998,"environment.lag00",0.72
"s Gulf St Lawrence",1999,"environment.lag00",1.7
"s Gulf St Lawrence",2000,"environment.lag00",2.8
"s Gulf St Lawrence",2001,"environment.lag00",-1.9
"s Gulf St Lawrence",2002,"environment.lag00",0.76
"s Gulf St Lawrence",2003,"environment.lag00",0.2
"s Gulf St Lawrence",2004,"environment.lag00",-0.07
"s Gulf St Lawrence",2005,"environment.lag00",0.12
"s Gulf St Lawrence",2006,"environment.lag00",-1.09
"s Gulf St Lawrence",2007,"environment.lag00",2.79
"s New England",1982,"environment.lag00",0.8
"s New England",1983,"environment.lag00",3.42
"s New England",1984,"environment.lag00",1.6
"s New England",1985,"environment.lag00",-0.63
"s New England",1986,"environment.lag00",0.5
"s New England",1987,"environment.lag00",-0.75
"s New England",1988,"environment.lag00",0.72
"s New England",1989,"environment.lag00",5.08
"s New England",1990,"environment.lag00",3.96
"s New England",1991,"environment.lag00",1.03
"s New England",1992,"environment.lag00",3.28
"s New England",1993,"environment.lag00",2.67
"s New England",1994,"environment.lag00",3.03
"s New England",1995,"environment.lag00",3.96
"s New England",1996,"environment.lag00",-3.78
"s New England",1997,"environment.lag00",-0.17
"s New England",1998,"environment.lag00",0.72
"s New England",1999,"environment.lag00",1.7
"s New England",2000,"environment.lag00",2.8
"s New England",2001,"environment.lag00",-1.9
"s New England",2002,"environment.lag00",0.76
"s New England",2003,"environment.lag00",0.2
"s New England",2004,"environment.lag00",-0.07
"s New England",2005,"environment.lag00",0.12
"s New England",2006,"environment.lag00",-1.09
"s New England",2007,"environment.lag00",2.79
"Connecticut",1992,"predator.lag01",1.89
"Connecticut",1993,"predator.lag01",1.94
"Connecticut",1994,"predator.lag01",1.7
"Connecticut",1995,"predator.lag01",1.27
"Connecticut",1996,"predator.lag01",1.23
"Connecticut",1997,"predator.lag01",1.96
"Connecticut",1998,"predator.lag01",1.86
"Connecticut",1999,"predator.lag01",2.12
"Connecticut",2000,"predator.lag01",2.44
"Connecticut",2001,"predator.lag01",3.35
"Connecticut",2002,"predator.lag01",3.02
"Connecticut",2003,"predator.lag01",5.81
"Connecticut",2004,"predator.lag01",4.5
"Connecticut",2005,"predator.lag01",2.57
"Connecticut",2006,"predator.lag01",3.15
"Connecticut",2007,"predator.lag01",2.19
"Georges Bank",1982,"predator.lag01",25.0786
"Georges Bank",1983,"predator.lag01",13.5581
"Georges Bank",1984,"predator.lag01",12.1441
