"region","type","year","combined.value","units","data.type","variables"
"Connecticut","predator",1987,1.72,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1988,1.75,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1989,1.8,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1990,2.36,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1991,1.89,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1992,1.94,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1993,1.7,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1994,1.27,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1995,1.23,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1996,1.96,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1997,1.86,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1998,2.12,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1999,2.44,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2000,3.35,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2001,3.02,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2002,5.81,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2003,4.5,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2004,2.57,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2005,3.15,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2006,2.19,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2007,3.79,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2008,1.71,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2009,2.14,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2010,0.66,"#/tow","trawlsurvey","longhorn.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2011,2.33,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",2012,3.29,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","prey",1984,29.45,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1985,15.575,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1986,17.285,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1987,20.775,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1988,10.54,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1989,17.24,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1990,30.185,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1991,49.455,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1992,50.12,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1993,54.625,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1994,43.275,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1995,53.91,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1996,49.62,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1997,113.495,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1998,86.5,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",1999,86.73,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2000,56.34,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2001,40.92,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2002,20.59,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2003,16.3,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2004,10.77,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2005,7.75,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2006,5.38,"#/tow","stockassessment","lob.abund"
"Connecticut","prey",2007,6.52,"#/tow","stockassessment","lob.abund"
"Georges Bank","Climate",1950,1.4,"","","nao"
"Georges Bank","Climate",1951,-1.26,"","","nao"
"Georges Bank","Climate",1952,0.83,"","","nao"
"Georges Bank","Climate",1953,0.18,"","","nao"
"Georges Bank","Climate",1954,0.13,"","","nao"
"Georges Bank","Climate",1955,-2.52,"","","nao"
"Georges Bank","Climate",1956,-1.73,"","","nao"
"Georges Bank","Climate",1957,1.52,"","","nao"
"Georges Bank","Climate",1958,-1.02,"","","nao"
"Georges Bank","Climate",1959,-0.37,"","","nao"
"Georges Bank","Climate",1960,-1.54,"","","nao"
"Georges Bank","Climate",1961,1.8,"","","nao"
"Georges Bank","Climate",1962,-2.38,"","","nao"
"Georges Bank","Climate",1963,-3.6,"","","nao"
"Georges Bank","Climate",1964,-2.86,"","","nao"
"Georges Bank","Climate",1965,-2.88,"","","nao"
"Georges Bank","Climate",1966,-1.69,"","","nao"
"Georges Bank","Climate",1967,1.28,"","","nao"
"Georges Bank","Climate",1968,-1.04,"","","nao"
"Georges Bank","Climate",1969,-4.89,"","","nao"
"Georges Bank","Climate",1970,-1.89,"","","nao"
"Georges Bank","Climate",1971,-0.96,"","","nao"
"Georges Bank","Climate",1972,0.34,"","","nao"
"Georges Bank","Climate",1973,2.52,"","","nao"
"Georges Bank","Climate",1974,1.23,"","","nao"
"Georges Bank","Climate",1975,1.63,"","","nao"
"Georges Bank","Climate",1976,1.37,"","","nao"
"Georges Bank","Climate",1977,-2.14,"","","nao"
"Georges Bank","Climate",1978,0.17,"","","nao"
"Georges Bank","Climate",1979,-2.25,"","","nao"
"Georges Bank","Climate",1980,0.56,"","","nao"
"Georges Bank","Climate",1981,2.05,"","","nao"
"Georges Bank","Climate",1982,0.8,"","","nao"
"Georges Bank","Climate",1983,3.42,"","","nao"
"Georges Bank","Climate",1984,1.6,"","","nao"
"Georges Bank","Climate",1985,-0.63,"","","nao"
"Georges Bank","Climate",1986,0.5,"","","nao"
"Georges Bank","Climate",1987,-0.75,"","","nao"
"Georges Bank","Climate",1988,0.72,"","","nao"
"Georges Bank","Climate",1989,5.08,"","","nao"
"Georges Bank","Climate",1990,3.96,"","","nao"
"Georges Bank","Climate",1991,1.03,"","","nao"
"Georges Bank","Climate",1992,3.28,"","","nao"
"Georges Bank","Climate",1993,2.67,"","","nao"
"Georges Bank","Climate",1994,3.03,"","","nao"
"Georges Bank","Climate",1995,3.96,"","","nao"
"Georges Bank","Climate",1996,-3.78,"","","nao"
"Georges Bank","Climate",1997,-0.17,"","","nao"
"Georges Bank","Climate",1998,0.72,"","","nao"
"Georges Bank","Climate",1999,1.7,"","","nao"
"Georges Bank","Climate",2000,2.8,"","","nao"
"Georges Bank","Climate",2001,-1.9,"","","nao"
"Georges Bank","Climate",2002,0.76,"","","nao"
"Georges Bank","Climate",2003,0.2,"","","nao"
"Georges Bank","Climate",2004,-0.07,"","","nao"
"Georges Bank","Climate",2005,0.12,"","","nao"
"Georges Bank","Climate",2006,-1.09,"","","nao"
"Georges Bank","Climate",2007,2.79,"","","nao"
"Georges Bank","Climate",2008,2.1,"","","nao"
"Georges Bank","Climate",2009,-0.41,"","","nao"
"Georges Bank","Climate",2010,-4.64,"","","nao"
"Georges Bank","Climate",NA,-0.37,"","","nao"
"Georges Bank","effort",1982,27560,"#","stockassessment","lob.trap"
"Georges Bank","effort",1983,28922,"#","stockassessment","lob.trap"
"Georges Bank","effort",1984,30651,"#","stockassessment","lob.trap"
"Georges Bank","effort",1985,34950,"#","stockassessment","lob.trap"
"Georges Bank","effort",1986,36950,"#","stockassessment","lob.trap"
"Georges Bank","effort",1987,39674,"#","stockassessment","lob.trap"
"Georges Bank","effort",1988,39732,"#","stockassessment","lob.trap"
"Georges Bank","effort",1989,39163,"#","stockassessment","lob.trap"
"Georges Bank","effort",1990,35891,"#","stockassessment","lob.trap"
"Georges Bank","effort",1991,36784,"#","stockassessment","lob.trap"
"Georges Bank","effort",1992,38745,"#","stockassessment","lob.trap"
"Georges Bank","effort",1993,43041,"#","stockassessment","lob.trap"
"Georges Bank","effort",1994,47894,"#","stockassessment","lob.trap"
"Georges Bank","effort",1995,44480,"#","stockassessment","lob.trap"
"Georges Bank","effort",1996,42008,"#","stockassessment","lob.trap"
"Georges Bank","effort",1997,40974,"#","stockassessment","lob.trap"
"Georges Bank","effort",1998,45327,"#","stockassessment","lob.trap"
"Georges Bank","effort",1999,47941,"#","stockassessment","lob.trap"
"Georges Bank","effort",2000,41464,"#","stockassessment","lob.trap"
"Georges Bank","effort",2001,40899,"#","stockassessment","lob.trap"
"Georges Bank","effort",2002,47387,"#","stockassessment","lob.trap"
"Georges Bank","effort",2003,42834,"#","stockassessment","lob.trap"
"Georges Bank","effort",2004,43922,"#","stockassessment","lob.trap"
"Georges Bank","effort",2005,40694,"#","stockassessment","lob.trap"
"Georges Bank","effort",2006,40175,"#","stockassessment","lob.trap"
"Georges Bank","effort",2007,42307,"#","stockassessment","lob.trap"
"Georges Bank","environment",1950,8.837705,"Deg C","","temp.gb"
"Georges Bank","environment",1951,10.598939,"Deg C","","temp.gb"
"Georges Bank","environment",1952,10.783137,"Deg C","","temp.gb"
"Georges Bank","environment",1953,10.650835,"Deg C","","temp.gb"
"Georges Bank","environment",1954,12.373771,"Deg C","","temp.gb"
"Georges Bank","environment",1955,9.415978,"Deg C","","temp.gb"
"Georges Bank","environment",1956,10.456811,"Deg C","","temp.gb"
"Georges Bank","environment",1957,11.602644,"Deg C","","temp.gb"
"Georges Bank","environment",1958,9.728478,"Deg C","","temp.gb"
"Georges Bank","environment",1959,8.567998,"Deg C","","temp.gb"
"Georges Bank","environment",1960,10.058478,"Deg C","","temp.gb"
"Georges Bank","environment",1961,9.630144,"Deg C","","temp.gb"
"Georges Bank","environment",1962,10.731811,"Deg C","","temp.gb"
"Georges Bank","environment",1963,10.910978,"Deg C","","temp.gb"
"Georges Bank","environment",1964,7.929311,"Deg C","","temp.gb"
"Georges Bank","environment",1965,8.380978,"Deg C","","temp.gb"
"Georges Bank","environment",1966,10.320144,"Deg C","","temp.gb"
"Georges Bank","environment",1967,10.191811,"Deg C","","temp.gb"
"Georges Bank","environment",1968,9.572644,"Deg C","","temp.gb"
"Georges Bank","environment",1969,11.030144,"Deg C","","temp.gb"
"Georges Bank","environment",1970,10.595978,"Deg C","","temp.gb"
"Georges Bank","environment",1971,11.235978,"Deg C","","temp.gb"
"Georges Bank","environment",1972,10.382644,"Deg C","","temp.gb"
"Georges Bank","environment",1973,12.184311,"Deg C","","temp.gb"
"Georges Bank","environment",1974,11.484311,"Deg C","","temp.gb"
"Georges Bank","environment",1975,10.176811,"Deg C","","temp.gb"
"Georges Bank","environment",1976,10.865144,"Deg C","","temp.gb"
"Georges Bank","environment",1977,9.834311,"Deg C","","temp.gb"
"Georges Bank","environment",1978,8.157464,"Deg C","","temp.gb"
"Georges Bank","environment",1979,9.389311,"Deg C","","temp.gb"
"Georges Bank","environment",1980,10.155144,"Deg C","","temp.gb"
"Georges Bank","environment",1981,10.329311,"Deg C","","temp.gb"
"Georges Bank","environment",1982,10.836811,"Deg C","","temp.gb"
"Georges Bank","environment",1983,9.290978,"Deg C","","temp.gb"
"Georges Bank","environment",1984,10.490144,"Deg C","","temp.gb"
"Georges Bank","environment",1985,9.495144,"Deg C","","temp.gb"
"Georges Bank","environment",1986,9.381811,"Deg C","","temp.gb"
"Georges Bank","environment",1987,8.630144,"Deg C","","temp.gb"
"Georges Bank","environment",1988,10.423478,"Deg C","","temp.gb"
"Georges Bank","environment",1989,7.115144,"Deg C","","temp.gb"
"Georges Bank","environment",1990,8.407644,"Deg C","","temp.gb"
"Georges Bank","environment",1991,8.746809,"Deg C","","temp.gb"
"Georges Bank","environment",1992,8.967644,"Deg C","","temp.gb"
"Georges Bank","environment",1993,9.295978,"Deg C","","temp.gb"
"Georges Bank","environment",1994,9.632638,"Deg C","","temp.gb"
"Georges Bank","environment",1995,9.626811,"Deg C","","temp.gb"
"Georges Bank","environment",1996,8.440144,"Deg C","","temp.gb"
"Georges Bank","environment",1997,9.433453,"Deg C","","temp.gb"
"Georges Bank","environment",1998,7.905978,"Deg C","","temp.gb"
"Georges Bank","environment",1999,10.317644,"Deg C","","temp.gb"
"Georges Bank","environment",2000,9.707089,"Deg C","","temp.gb"
"Georges Bank","environment",2001,9.219816,"Deg C","","temp.gb"
"Georges Bank","environment",2002,10.446811,"Deg C","","temp.gb"
"Georges Bank","environment",2003,9.070978,"Deg C","","temp.gb"
"Georges Bank","environment",2004,8.853478,"Deg C","","temp.gb"
"Georges Bank","environment",2005,9.023478,"Deg C","","temp.gb"
"Georges Bank","environment",2006,9.819311,"Deg C","","temp.gb"
"Georges Bank","environment",2007,9.290978,"Deg C","","temp.gb"
"Georges Bank","environment",2008,7.86618,"Deg C","","temp.gb"
"Georges Bank","environment",2009,11.821169,"Deg C","","temp.gb"
"Georges Bank","environment",2010,12.659628,"Deg C","","temp.gb"
"Georges Bank","predator",1963,28.9546,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1964,14.8681,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1965,30.6071,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1966,33.109,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1967,26.7477,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1968,37.4106,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1969,31.4846,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1970,46.412,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1971,35.7052,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1972,41.9881,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1973,47.0223,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1974,22.8517,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1975,54.0505,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1976,22.3087,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1977,40.7983,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1978,35.5865,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1979,32.2854,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1980,31.5494,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1981,25.0786,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1982,13.5581,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1983,12.1441,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1984,11.611,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1985,9.311,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1986,22.4801,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1987,25.2334,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1988,16.5651,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1989,39.3308,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1990,34.655,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1991,17.5613,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1992,35.0175,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1993,20.1191,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1994,25.1198,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1995,30.4133,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1996,28.0619,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1997,32.8292,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1998,59.7722,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",1999,20.6887,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",2000,30.2473,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",2001,27.1496,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",2002,37.9489,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",2003,17.061,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",2004,19.7579,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
"Georges Bank","predator",2005,16.6395,"#/tow","trawlsurvey","cod.abund , hal.abund , longsculp.abund , monk.abund , smoothdog.abund , smoothsk.abund , thorny.abund"
